area,input_fwhm,output_fwhm,detected
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.05255882141849225,True
10000,0.03999999999996362,0.07791155038474204,True
10000,0.039999999999054126,0.0419085344994652,True
10000,0.03999999999996362,0.04141714660194722,True
10000,0.03999999999996362,0.06901614866421661,True
10000,0.03999999999996362,0.33105478717816694,True
10000,0.03999999999996362,0.0683943688336636,True
10000,0.03999999999996362,0.0,False
10000,0.039999999999054126,0.08803007532116174,True
10000,0.03999999999996362,0.08510720394308327,True
10000,0.03999999999996362,0.04415367071007161,True
10000,0.03999999999996362,0.040128720586535827,True
10000,0.03999999999996362,0.06789833580994857,True
10000,0.03999999999996362,0.07188010546139621,True
10000,0.03999999999996362,0.042146720374081674,True
10000,0.03999999999996362,0.06331690136581282,True
10000,0.03999999999996362,0.055970601315105895,True
10000,0.03999999999996362,0.04708313877659355,True
10000,0.03999999999996362,0.05940579532292672,True
10000,0.039999999999054126,0.05873261153941074,True
10000,0.039999999999054126,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.0423249930620636,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.04372407326569265,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.1252905035839723,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.039999999999054126,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.0,False
10000,0.040000000000873115,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.039999999999054126,0.155067415840693,True
10000,0.040000000000873115,0.045197523050001534,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.04864948567538162,True
10000,0.039999999999054126,0.04213619449362621,True
10000,0.03999999999996362,0.9357395205096178,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.039999999999054126,0.3525673629295125,True
10000,0.040000000000873115,0.03425891611277931,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.4374896159319578,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.04351886224469625,True
10000,0.039999999999054126,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.039874880307347524,True
10000,0.040000000000873115,0.040414285602861595,True
10000,0.040000000000873115,0.03995547218652316,True
10000,0.039999999999054126,0.03961709952481723,True
10000,0.03999999999996362,0.0399033432449254,True
10000,0.03999999999996362,0.0400795069682809,True
10000,0.03999999999996362,0.03982191346438747,True
10000,0.03999999999996362,0.040139848831883186,True
10000,0.040000000000873115,0.0400552003683899,True
10000,0.03999999999996362,0.040000663120377776,True
10000,0.03999999999996362,0.040941347596406726,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.040000000000873115,0.04153707848868337,True
10000,0.03999999999996362,0.04508416549720497,True
10000,0.040000000000873115,0.08639302928843835,True
10000,0.03999999999996362,0.06192458558484796,True
10000,0.03999999999996362,0.03928978600327087,True
10000,0.03999999999996362,0.0454475946805069,True
10000,0.040000000000873115,0.04891924800286094,True
10000,0.040000000000873115,0.0,False
10000,0.040000000000873115,0.0,False
10000,0.039999999999054126,0.0,False
10000,0.03999999999996362,0.0,False
10000,0.039999999999054126,0.04309263835786398,True
10000,0.040000000000873115,0.0,False
10000,0.03999999999996362,0.047654056955006976,True
10000,0.03999999999996362,0.0,False
10000,0.03999999999996362,0.08672996964915788,True
10000,0.03999999999996362,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,110.91840333133092,True
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.9390413057696116,True
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.5889122575870558,True
10000,0.1000000000003638,0.11582522305234473,True
10000,0.0999999999994543,0.1315393049210599,True
10000,0.09999999999990905,0.1008434354809233,True
10000,0.1000000000003638,0.1068806560406211,True
10000,0.0999999999994543,0.11222352935774922,True
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.10985631396050957,True
10000,0.0999999999994543,0.15452251474753959,True
10000,0.0999999999994543,0.10385891612835703,True
10000,0.0999999999994543,0.10061273708606616,True
10000,0.09999999999990905,0.1005545816975778,True
10000,0.0999999999994543,0.1192854376836885,True
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.10515363538603757,True
10000,0.1000000000003638,1.8719001000675577,True
10000,0.1000000000003638,0.166659404811796,True
10000,0.1000000000003638,0.13148044619223792,True
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.09999999999990905,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.24702102037713358,True
10000,0.0999999999994543,0.0,False
10000,0.09999999999990905,0.0,False
10000,0.0999999999994543,0.08451870382092729,True
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.15783662040605867,True
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.09999999999990905,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,1.2016263803672518,True
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.09999999999990905,0.11511982117003267,True
10000,0.1000000000003638,0.21027333954216462,True
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.11530654360640416,True
10000,0.1000000000003638,0.10129087206317158,True
10000,0.0999999999994543,0.0989732958433093,True
10000,0.0999999999994543,0.13947879828576396,True
10000,0.0999999999994543,0.09996553903728603,True
10000,0.1000000000003638,0.09837372890596519,True
10000,0.0999999999994543,0.1002094835622223,True
10000,0.0999999999994543,0.10007009676418348,True
10000,0.09999999999990905,0.099435105989856,True
10000,0.0999999999994543,0.0987989021451405,True
10000,0.0999999999994543,0.10312789932606814,True
10000,0.0999999999994543,0.11253401976817289,True
10000,0.1000000000003638,0.10408779847571296,True
10000,0.0999999999994543,0.10637523953013349,True
10000,0.0999999999994543,0.17703443813911726,True
10000,0.1000000000003638,0.09922343992609994,True
10000,0.0999999999994543,0.09001609964672966,True
10000,0.0999999999994543,91.61180766813419,True
10000,0.1000000000003638,0.18692050899078735,True
10000,0.1000000000003638,0.11522740063598558,True
10000,0.0999999999994543,0.12023118062604188,True
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.0999999999994543,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.1000000000003638,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.20773481219742013,True
10000,0.1999999999998181,0.18018679821550615,True
10000,0.1999999999998181,0.19199661790050557,True
10000,0.1999999999998181,0.20198846915306207,True
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.2071724160505228,True
10000,0.1999999999998181,0.20352549468866662,True
10000,0.1999999999998181,0.16567436779852684,True
10000,0.1999999999998181,0.1799412301586327,True
10000,0.1999999999998181,0.2126367073184931,True
10000,0.20000000000027285,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,147.03299883312476,True
10000,0.1999999999989086,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,1.7203216471510154,True
10000,0.1999999999989086,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.2000000000007276,0.28446709181387286,True
10000,0.1999999999998181,0.29003672573269335,True
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.19827663489711597,True
10000,0.1999999999998181,0.19763844107869324,True
10000,0.1999999999998181,0.19744135757374792,True
10000,0.1999999999998181,0.19860726970756276,True
10000,0.1999999999998181,0.19733620943791924,True
10000,0.1999999999998181,0.2013078179268713,True
10000,0.1999999999998181,0.1989914489654551,True
10000,0.1999999999998181,0.1953857651336116,True
10000,0.1999999999998181,0.1968250169731219,True
10000,0.1999999999989086,0.1934913462395624,True
10000,0.2000000000007276,0.2980246858148042,True
10000,0.1999999999989086,143.38072140337982,True
10000,0.1999999999998181,0.21496065603451933,True
10000,0.1999999999998181,0.8070825883904319,True
10000,0.1999999999989086,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.1931366795739876,True
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.1760590736734802,True
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.20000000000027285,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.1999999999998181,0.0,False
10000,0.2000000000007276,0.0,False
10000,0.1999999999998181,0.0,False
20000,0.040000000000873115,0.04068794575059162,True
20000,0.039999999999054126,0.07392518488449973,True
20000,0.03999999999996362,0.05946457402971659,True
20000,0.040000000000873115,0.06462446004454347,True
20000,0.03999999999996362,0.07294274450887081,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.04160710577578134,True
20000,0.040000000000873115,0.043807359829269005,True
20000,0.039999999999054126,0.04057451190036072,True
20000,0.04000000000041837,0.042377499115275476,True
20000,0.040000000000873115,0.0,False
20000,0.039999999999054126,0.0,False
20000,0.03999999999996362,0.0400907066177431,True
20000,0.040000000000873115,0.0734982080098286,True
20000,0.03999999999996362,0.07215683350150502,True
20000,0.03999999999996362,0.06953286146237457,True
20000,0.039999999999054126,0.07007942026506811,True
20000,0.03999999999996362,0.7348010318452864,True
20000,0.03999999999996362,0.041101258282460376,True
20000,0.03999999999996362,0.07939808490564149,True
20000,0.03999999999996362,0.04840933898921256,True
20000,0.03999999999996362,0.039954326015329236,True
20000,0.040000000000873115,0.048442447811783064,True
20000,0.03999999999996362,0.04125393351016182,True
20000,0.039999999999054126,0.04154136418940184,True
20000,0.03999999999996362,0.07177463054582524,True
20000,0.03999999999996362,1.9419342238019872,True
20000,0.040000000000873115,0.04575835752064786,True
20000,0.040000000000873115,0.04524101310297479,True
20000,0.040000000000873115,0.08683600106085222,True
20000,0.039999999999054126,0.06092964556233039,True
20000,0.03999999999996362,0.04674584550194637,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.040000000000873115,0.0,False
20000,0.039999999999054126,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.039999999999054126,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.039999999999054126,0.0,False
20000,0.03999999999996362,0.042070605950656294,True
20000,0.03999999999996362,0.04020185287437692,True
20000,0.040000000000873115,0.0,False
20000,0.040000000000873115,0.03907812199135435,True
20000,0.039999999999054126,0.04583752811305518,True
20000,0.03999999999996362,0.80219890590396,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,2.293422369010776,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.28235107236423046,True
20000,0.039999999999054126,0.05560401891651727,True
20000,0.040000000000873115,0.04456903888842913,True
20000,0.040000000000873115,123.5866220558509,True
20000,0.040000000000873115,0.041721939535939626,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.040000000000873115,0.061396693347330326,True
20000,0.03999999999996362,0.0,False
20000,0.039999999999054126,0.06399534698168823,True
20000,0.03999999999996362,0.04015481572540253,True
20000,0.03999999999996362,0.038336501855360174,True
20000,0.03999999999996362,0.06935162266830293,True
20000,0.03999999999996362,0.06238863633952475,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.09160699069902475,True
20000,0.03999999999996362,0.041050073446198224,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.04143460518137643,True
20000,0.03999999999996362,0.039860491296909266,True
20000,0.03999999999996362,0.0797625855917224,True
20000,0.03999999999996362,0.04008101661110969,True
20000,0.03999999999996362,0.0397505719358876,True
20000,0.03999999999996362,0.0399879086741398,True
20000,0.03999999999996362,0.03977890159583422,True
20000,0.039999999999054126,0.040019404115009836,True
20000,0.03999999999996362,0.03976338327709334,True
20000,0.03999999999996362,0.08051814255619698,True
20000,0.040000000000873115,0.0399085778792298,True
20000,0.040000000000873115,0.03941325584012325,True
20000,0.03999999999996362,0.09703315691520446,True
20000,0.03999999999996362,0.03943077132204884,True
20000,0.03999999999996362,0.04230304014006886,True
20000,0.03999999999996362,0.08211192662781086,True
20000,0.03999999999996362,0.04056953983703607,True
20000,0.03999999999996362,0.06812300590045457,True
20000,0.03999999999996362,0.04151165476961603,True
20000,0.03999999999996362,0.08725734572871711,True
20000,0.039999999999054126,0.039473783453327416,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,1.1206760689098076,True
20000,0.03999999999996362,0.0,False
20000,0.03999999999996362,154.71868473511637,True
20000,0.03999999999996362,0.0,False
20000,0.039999999999054126,0.7818380587520792,True
20000,0.03999999999996362,0.0459888697188979,True
20000,0.040000000000873115,0.04182685365563441,True
20000,0.039999999999054126,0.04017418333157963,True
20000,0.1000000000003638,0.16907374430466635,True
20000,0.1000000000003638,0.12407937495284871,True
20000,0.1000000000003638,0.0992323611727883,True
20000,0.09999999999990905,0.1598435971391871,True
20000,0.1000000000003638,0.18497685614798284,True
20000,0.1000000000003638,0.10266798001297836,True
20000,0.1000000000003638,0.19395302866421923,True
20000,0.0999999999994543,0.19381397860384578,True
20000,0.1000000000003638,1.3113780201478633,True
20000,0.0999999999994543,0.11565638407127077,True
20000,0.0999999999994543,0.10090638210965824,True
20000,0.09999999999990905,0.09949714787333072,True
20000,0.0999999999994543,0.08652531359736308,True
20000,0.1000000000003638,0.09983997346526688,True
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.11542313002362561,True
20000,0.1000000000003638,0.17904446232897434,True
20000,0.1000000000003638,0.1406838444329321,True
20000,0.1000000000003638,0.14966906885501502,True
20000,0.1000000000003638,0.11233526804808086,True
20000,0.1000000000003638,0.19398554775816648,True
20000,0.0999999999994543,0.11624800823240554,True
20000,0.1000000000003638,0.6508411948704879,True
20000,0.1000000000003638,0.10939195260050304,True
20000,0.0999999999994543,0.0,False
20000,0.0999999999994543,114.5913356286703,True
20000,0.1000000000003638,0.23673684799509642,True
20000,0.1000000000003638,0.0930902554287687,True
20000,0.09999999999990905,0.09058578041491193,True
20000,0.1000000000003638,0.17147387569161737,True
20000,0.0999999999994543,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.0999999999994543,0.0,False
20000,0.0999999999994543,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.09999999999990905,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.09999999999990905,0.13632658868123904,True
20000,0.1000000000003638,0.0,False
20000,0.09999999999990905,0.1776026060269169,True
20000,0.0999999999994543,1.3578605803374557,True
20000,0.1000000000003638,0.5691502291933261,True
20000,0.1000000000003638,1.2309070604098051,True
20000,0.1000000000003638,0.0,False
20000,0.09999999999990905,0.09374303771439005,True
20000,0.1000000000003638,0.10368894395531619,True
20000,0.0999999999994543,0.0,False
20000,0.1000000000003638,1.9319259149802281,True
20000,0.0999999999994543,0.5345468557726404,True
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.1290634764747154,True
20000,0.1000000000003638,0.3148152662568918,True
20000,0.1000000000003638,0.10575434002230376,True
20000,0.1000000000003638,0.12546741911191533,True
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,0.0,False
20000,0.1000000000003638,1.3029227398197745,True
20000,0.1000000000003638,0.542479219666345,True
20000,0.0999999999994543,0.0,False
20000,0.0999999999994543,0.14215603740176624,True
20000,0.1000000000003638,96.77605508211825,True
20000,0.0999999999994543,0.21487961391639906,True
20000,0.1000000000003638,0.11618078185377405,True
20000,0.1000000000003638,0.2663170736425125,True
20000,0.0999999999994543,0.12675736909066804,True
